device,ip,timestamp,host
192.168.1.5,172.217.11.46,2018-08-30T15:13:49.453Z,Google LLC (GOGL)
192.168.1.5,172.217.11.46,2018-08-30T15:13:49.454Z,Google LLC (GOGL)
192.168.1.5,172.217.11.46,2018-08-30T15:13:49.491Z,Google LLC (GOGL)
192.168.1.5,172.217.11.46,2018-08-30T15:13:49.582Z,Google LLC (GOGL)
192.168.1.5,172.217.11.46,2018-08-30T15:13:49.582Z,Google LLC (GOGL)
192.168.1.5,172.217.11.46,2018-08-30T15:13:49.582Z,Google LLC (GOGL)
192.168.1.5,172.217.11.46,2018-08-30T15:13:49.582Z,Google LLC (GOGL)
192.168.1.5,172.217.11.46,2018-08-30T15:13:49.586Z,Google LLC (GOGL)
192.168.1.5,172.217.11.46,2018-08-30T15:13:49.606Z,Google LLC (GOGL)
192.168.1.5,172.217.11.46,2018-08-30T15:13:49.606Z,Google LLC (GOGL)
192.168.1.5,172.217.11.46,2018-08-30T15:13:49.607Z,Google LLC (GOGL)
192.168.1.5,172.217.11.46,2018-08-30T15:13:49.649Z,Google LLC (GOGL)
192.168.1.5,172.217.11.46,2018-08-30T15:13:49.835Z,Google LLC (GOGL)
192.168.1.5,172.217.11.46,2018-08-30T15:13:49.836Z,Google LLC (GOGL)
192.168.1.5,172.217.11.46,2018-08-30T15:13:49.836Z,Google LLC (GOGL)
192.168.1.5,172.217.11.46,2018-08-30T15:13:49.836Z,Google LLC (GOGL)
192.168.1.5,172.217.11.46,2018-08-30T15:13:49.838Z,Google LLC (GOGL)
192.168.1.5,172.217.11.46,2018-08-30T15:13:49.840Z,Google LLC (GOGL)
192.168.1.5,172.217.11.46,2018-08-30T15:13:49.847Z,Google LLC (GOGL)
192.168.1.5,172.217.11.46,2018-08-30T15:13:49.876Z,Google LLC (GOGL)
192.168.1.5,172.217.11.46,2018-08-30T15:13:50.220Z,Google LLC (GOGL)
192.168.1.5,172.217.11.46,2018-08-30T15:13:50.220Z,Google LLC (GOGL)
192.168.1.5,172.217.11.46,2018-08-30T15:13:50.221Z,Google LLC (GOGL)
192.168.1.5,172.217.11.46,2018-08-30T15:13:50.221Z,Google LLC (GOGL)
192.168.1.5,172.217.11.46,2018-08-30T15:13:50.224Z,Google LLC (GOGL)
192.168.1.5,172.217.11.46,2018-08-30T15:13:50.224Z,Google LLC (GOGL)
192.168.1.5,172.217.11.46,2018-08-30T15:13:50.224Z,Google LLC (GOGL)
192.168.1.5,172.217.11.46,2018-08-30T15:13:50.224Z,Google LLC (GOGL)
192.168.1.5,172.217.11.46,2018-08-30T15:13:50.225Z,Google LLC (GOGL)
192.168.1.5,172.217.11.46,2018-08-30T15:13:50.225Z,Google LLC (GOGL)
192.168.1.5,172.217.11.46,2018-08-30T15:13:50.226Z,Google LLC (GOGL)
192.168.1.5,172.217.11.46,2018-08-30T15:13:50.226Z,Google LLC (GOGL)
192.168.1.5,172.217.11.46,2018-08-30T15:13:50.259Z,Google LLC (GOGL)
192.168.1.5,172.217.11.46,2018-08-30T15:13:50.553Z,Google LLC (GOGL)
192.168.1.5,172.217.11.46,2018-08-30T15:13:50.689Z,Google LLC (GOGL)
192.168.1.5,172.217.11.46,2018-08-30T15:13:50.714Z,Google LLC (GOGL)
192.168.1.5,172.217.11.46,2018-08-30T15:13:52.169Z,Google LLC (GOGL)
192.168.1.5,172.217.11.46,2018-08-30T15:13:52.172Z,Google LLC (GOGL)
192.168.1.5,172.217.11.46,2018-08-30T15:13:52.345Z,Google LLC (GOGL)
192.168.1.5,172.217.11.46,2018-08-30T15:13:52.356Z,Google LLC (GOGL)
192.168.1.5,172.217.11.46,2018-08-30T15:13:54.302Z,Google LLC (GOGL)
192.168.1.5,172.217.11.46,2018-08-30T15:13:54.416Z,Google LLC (GOGL)
192.168.1.5,172.217.11.46,2018-08-30T15:13:54.416Z,Google LLC (GOGL)
192.168.1.5,172.217.11.46,2018-08-30T15:13:54.442Z,Google LLC (GOGL)
192.168.1.5,172.217.11.46,2018-08-30T15:13:54.467Z,Google LLC (GOGL)
192.168.1.5,172.217.11.46,2018-08-30T15:13:54.643Z,Google LLC (GOGL)
192.168.1.5,172.217.11.46,2018-08-30T15:13:55.275Z,Google LLC (GOGL)
192.168.1.5,172.217.11.46,2018-08-30T15:13:55.276Z,Google LLC (GOGL)
192.168.1.5,172.217.11.46,2018-08-30T15:13:55.320Z,Google LLC (GOGL)
192.168.1.5,167.206.252.143,2018-08-30T15:13:49.732Z,Cablevision Systems Corp. (CVNT-Z)
192.168.1.5,167.206.252.143,2018-08-30T15:13:49.732Z,Cablevision Systems Corp. (CVNT-Z)
