2018-08-30 11:13:49.453242 IP 192.168.1.5.50288 > 172.217.11.46.443: UDP, length 498
2018-08-30 11:13:49.454817 IP 192.168.1.5.50288 > 172.217.11.46.443: UDP, length 170
2018-08-30 11:13:49.491488 IP 192.168.1.5.50288 > 172.217.11.46.443: UDP, length 28
2018-08-30 11:13:49.582196 IP 192.168.1.5.50288 > 172.217.11.46.443: UDP, length 28
2018-08-30 11:13:49.582252 IP 192.168.1.5.50288 > 172.217.11.46.443: UDP, length 28
2018-08-30 11:13:49.582291 IP 192.168.1.5.50288 > 172.217.11.46.443: UDP, length 28
2018-08-30 11:13:49.582363 IP 192.168.1.5.50288 > 172.217.11.46.443: UDP, length 28
2018-08-30 11:13:49.586754 IP 192.168.1.5.50288 > 172.217.11.46.443: UDP, length 28
2018-08-30 11:13:49.606752 IP 192.168.1.5.50288 > 172.217.11.46.443: UDP, length 1350
2018-08-30 11:13:49.606805 IP 192.168.1.5.50288 > 172.217.11.46.443: UDP, length 261
2018-08-30 11:13:49.607969 IP 192.168.1.5.50288 > 172.217.11.46.443: UDP, length 39
2018-08-30 11:13:49.649558 IP 192.168.1.5.50288 > 172.217.11.46.443: UDP, length 28
2018-08-30 11:13:49.732414 IP 192.168.1.5.56822 > 167.206.252.143.443: UDP, length 1350
2018-08-30 11:13:49.732720 IP 192.168.1.5.56822 > 167.206.252.143.443: UDP, length 317
2018-08-30 11:13:49.732962 IP 192.168.1.5.56822 > 167.206.252.143.443: UDP, length 75
2018-08-30 11:13:49.749974 IP 192.168.1.5.56822 > 167.206.252.143.443: UDP, length 41
2018-08-30 11:13:49.750337 IP 192.168.1.5.56822 > 167.206.252.143.443: UDP, length 28
2018-08-30 11:13:49.751206 IP 192.168.1.5.56822 > 167.206.252.143.443: UDP, length 28
2018-08-30 11:13:49.778314 IP 192.168.1.5.52961 > 172.217.12.206.443: UDP, length 1350
2018-08-30 11:13:49.778528 IP 192.168.1.5.52961 > 172.217.12.206.443: UDP, length 338
2018-08-30 11:13:49.779435 IP 192.168.1.5.56822 > 167.206.252.143.443: UDP, length 28
2018-08-30 11:13:49.813178 IP 192.168.1.5.52961 > 172.217.12.206.443: UDP, length 1350
2018-08-30 11:13:49.813224 IP 192.168.1.5.52961 > 172.217.12.206.443: UDP, length 334
2018-08-30 11:13:49.835985 IP 192.168.1.5.50288 > 172.217.11.46.443: UDP, length 28
2018-08-30 11:13:49.836718 IP 192.168.1.5.50288 > 172.217.11.46.443: UDP, length 28
2018-08-30 11:13:49.836776 IP 192.168.1.5.50288 > 172.217.11.46.443: UDP, length 28
2018-08-30 11:13:49.836807 IP 192.168.1.5.50288 > 172.217.11.46.443: UDP, length 28
2018-08-30 11:13:49.838468 IP 192.168.1.5.50288 > 172.217.11.46.443: UDP, length 28
2018-08-30 11:13:49.840723 IP 192.168.1.5.50288 > 172.217.11.46.443: UDP, length 28
2018-08-30 11:13:49.847891 IP 192.168.1.5.50288 > 172.217.11.46.443: UDP, length 28
2018-08-30 11:13:49.848222 IP 192.168.1.5.52961 > 172.217.12.206.443: UDP, length 41
2018-08-30 11:13:49.848310 IP 192.168.1.5.52961 > 172.217.12.206.443: UDP, length 28
2018-08-30 11:13:49.870406 IP 192.168.1.5.52961 > 172.217.12.206.443: UDP, length 334
2018-08-30 11:13:49.876437 IP 192.168.1.5.50288 > 172.217.11.46.443: UDP, length 28
2018-08-30 11:13:49.885965 IP 192.168.1.5.52961 > 172.217.12.206.443: UDP, length 28
2018-08-30 11:13:49.886190 IP 192.168.1.5.52961 > 172.217.12.206.443: UDP, length 28
2018-08-30 11:13:49.886282 IP 192.168.1.5.52961 > 172.217.12.206.443: UDP, length 28
2018-08-30 11:13:49.886415 IP 192.168.1.5.52961 > 172.217.12.206.443: UDP, length 28
2018-08-30 11:13:49.888535 IP 192.168.1.5.52961 > 172.217.12.206.443: UDP, length 28
2018-08-30 11:13:49.888562 IP 192.168.1.5.52961 > 172.217.12.206.443: UDP, length 28
2018-08-30 11:13:49.888624 IP 192.168.1.5.52961 > 172.217.12.206.443: UDP, length 28
2018-08-30 11:13:49.888656 IP 192.168.1.5.52961 > 172.217.12.206.443: UDP, length 28
2018-08-30 11:13:49.890262 IP 192.168.1.5.52961 > 172.217.12.206.443: UDP, length 28
2018-08-30 11:13:49.890311 IP 192.168.1.5.52961 > 172.217.12.206.443: UDP, length 28
2018-08-30 11:13:49.893300 IP 192.168.1.5.52961 > 172.217.12.206.443: UDP, length 28
2018-08-30 11:13:49.893413 IP 192.168.1.5.52961 > 172.217.12.206.443: UDP, length 28
2018-08-30 11:13:49.894101 IP 192.168.1.5.52961 > 172.217.12.206.443: UDP, length 28
2018-08-30 11:13:49.894954 IP 192.168.1.5.52961 > 172.217.12.206.443: UDP, length 28
2018-08-30 11:13:49.895689 IP 192.168.1.5.52961 > 172.217.12.206.443: UDP, length 28
2018-08-30 11:13:49.897188 IP 192.168.1.5.52961 > 172.217.12.206.443: UDP, length 28
2018-08-30 11:13:49.898607 IP 192.168.1.5.52961 > 172.217.12.206.443: UDP, length 28
2018-08-30 11:13:49.899409 IP 192.168.1.5.52961 > 172.217.12.206.443: UDP, length 28
2018-08-30 11:13:49.900615 IP 192.168.1.5.52961 > 172.217.12.206.443: UDP, length 28
