device,ip,timestamp,host
10.8.0.18,17.249.121.246,2018-09-06T18:51:20.851Z,Apple Inc. (APPLEC-1-Z)
10.8.0.18,17.249.121.246,2018-09-06T18:51:20.856Z,Apple Inc. (APPLEC-1-Z)
10.8.0.18,17.249.121.246,2018-09-06T18:51:20.856Z,Apple Inc. (APPLEC-1-Z)
10.8.0.18,17.249.121.246,2018-09-06T18:51:20.856Z,Apple Inc. (APPLEC-1-Z)
10.8.0.18,17.249.121.246,2018-09-06T18:51:21.370Z,Apple Inc. (APPLEC-1-Z)
10.8.0.18,17.249.121.246,2018-09-06T18:51:21.370Z,Apple Inc. (APPLEC-1-Z)
10.8.0.18,17.249.121.246,2018-09-06T18:51:21.370Z,Apple Inc. (APPLEC-1-Z)
10.8.0.18,17.249.121.246,2018-09-06T18:51:21.370Z,Apple Inc. (APPLEC-1-Z)
10.8.0.18,17.253.15.205,2018-09-06T18:51:24.028Z,Apple Inc. (APPLEC-1-Z)
10.8.0.18,17.253.15.205,2018-09-06T18:51:24.131Z,Apple Inc. (APPLEC-1-Z)
10.8.0.18,17.253.15.205,2018-09-06T18:51:24.131Z,Apple Inc. (APPLEC-1-Z)
10.8.0.18,17.253.15.205,2018-09-06T18:51:24.232Z,Apple Inc. (APPLEC-1-Z)
10.8.0.18,17.253.15.205,2018-09-06T18:51:24.232Z,Apple Inc. (APPLEC-1-Z)
10.8.0.18,17.253.15.205,2018-09-06T18:51:24.232Z,Apple Inc. (APPLEC-1-Z)
10.8.0.18,17.253.15.205,2018-09-06T18:51:24.273Z,Apple Inc. (APPLEC-1-Z)
10.8.0.18,17.253.15.205,2018-09-06T18:51:24.363Z,Apple Inc. (APPLEC-1-Z)
10.8.0.18,17.253.15.205,2018-09-06T18:51:24.370Z,Apple Inc. (APPLEC-1-Z)
10.8.0.18,17.253.15.205,2018-09-06T18:51:24.459Z,Apple Inc. (APPLEC-1-Z)
10.8.0.18,17.253.15.205,2018-09-06T18:51:26.540Z,Apple Inc. (APPLEC-1-Z)
10.8.0.18,17.253.15.205,2018-09-06T18:51:26.540Z,Apple Inc. (APPLEC-1-Z)
10.8.0.18,17.253.15.205,2018-09-06T18:51:26.687Z,Apple Inc. (APPLEC-1-Z)
10.8.0.18,17.253.15.203,2018-09-06T18:51:25.049Z,Apple Inc. (APPLEC-1-Z)
10.8.0.18,17.253.15.203,2018-09-06T18:51:25.153Z,Apple Inc. (APPLEC-1-Z)
10.8.0.18,17.253.15.203,2018-09-06T18:51:25.158Z,Apple Inc. (APPLEC-1-Z)
10.8.0.18,17.253.15.203,2018-09-06T18:51:25.254Z,Apple Inc. (APPLEC-1-Z)
10.8.0.18,17.253.15.203,2018-09-06T18:51:27.034Z,Apple Inc. (APPLEC-1-Z)
10.8.0.18,17.253.15.203,2018-09-06T18:51:27.200Z,Apple Inc. (APPLEC-1-Z)
10.8.0.6,17.249.108.23,2018-09-06T18:51:47.023Z,Apple Inc. (APPLEC-1-Z)
10.8.0.6,17.249.108.23,2018-09-06T18:51:47.046Z,Apple Inc. (APPLEC-1-Z)
10.8.0.6,17.249.108.23,2018-09-06T18:51:47.053Z,Apple Inc. (APPLEC-1-Z)
10.8.0.6,17.249.108.23,2018-09-06T18:51:47.085Z,Apple Inc. (APPLEC-1-Z)
10.8.0.6,17.249.108.23,2018-09-06T18:51:47.085Z,Apple Inc. (APPLEC-1-Z)
10.8.0.6,17.249.108.23,2018-09-06T18:51:47.103Z,Apple Inc. (APPLEC-1-Z)
10.8.0.6,17.249.108.23,2018-09-06T18:51:47.175Z,Apple Inc. (APPLEC-1-Z)
10.8.0.6,17.249.108.23,2018-09-06T18:51:47.206Z,Apple Inc. (APPLEC-1-Z)
10.8.0.6,17.249.108.23,2018-09-06T18:51:47.221Z,Apple Inc. (APPLEC-1-Z)
10.8.0.6,17.249.108.23,2018-09-06T18:51:47.253Z,Apple Inc. (APPLEC-1-Z)
10.8.0.6,17.249.108.23,2018-09-06T18:51:47.260Z,Apple Inc. (APPLEC-1-Z)
10.8.0.6,17.249.108.23,2018-09-06T18:51:47.260Z,Apple Inc. (APPLEC-1-Z)
10.8.0.6,17.249.108.23,2018-09-06T18:51:47.285Z,Apple Inc. (APPLEC-1-Z)
10.8.0.6,17.249.108.23,2018-09-06T18:51:47.315Z,Apple Inc. (APPLEC-1-Z)
10.8.0.6,17.249.108.23,2018-09-06T18:51:47.339Z,Apple Inc. (APPLEC-1-Z)
10.8.0.6,17.249.108.23,2018-09-06T18:51:47.391Z,Apple Inc. (APPLEC-1-Z)
10.8.0.6,17.248.187.205,2018-09-06T18:51:47.030Z,Apple Inc. (APPLEC-1-Z)
10.8.0.6,17.248.187.205,2018-09-06T18:51:47.053Z,Apple Inc. (APPLEC-1-Z)
10.8.0.6,17.248.187.205,2018-09-06T18:51:47.053Z,Apple Inc. (APPLEC-1-Z)
10.8.0.6,17.248.187.205,2018-09-06T18:51:47.079Z,Apple Inc. (APPLEC-1-Z)
10.8.0.6,17.248.187.205,2018-09-06T18:51:47.085Z,Apple Inc. (APPLEC-1-Z)
10.8.0.6,17.248.187.205,2018-09-06T18:51:47.085Z,Apple Inc. (APPLEC-1-Z)
10.8.0.6,17.248.187.205,2018-09-06T18:51:47.085Z,Apple Inc. (APPLEC-1-Z)
