device,ip,timestamp,host
10.8.0.18,54.243.164.101,2018-09-04T23:32:21.334Z,Amazon Technologies Inc. (AT-88-Z)
10.8.0.18,54.243.164.101,2018-09-04T23:32:21.432Z,Amazon Technologies Inc. (AT-88-Z)
10.8.0.18,54.243.164.101,2018-09-04T23:32:21.432Z,Amazon Technologies Inc. (AT-88-Z)
10.8.0.18,54.243.164.101,2018-09-04T23:32:21.558Z,Amazon Technologies Inc. (AT-88-Z)
10.8.0.18,54.243.164.101,2018-09-04T23:32:21.559Z,Amazon Technologies Inc. (AT-88-Z)
10.8.0.18,54.243.164.101,2018-09-04T23:32:21.559Z,Amazon Technologies Inc. (AT-88-Z)
10.8.0.18,54.243.164.101,2018-09-04T23:32:21.559Z,Amazon Technologies Inc. (AT-88-Z)
10.8.0.18,54.243.164.101,2018-09-04T23:32:21.563Z,Amazon Technologies Inc. (AT-88-Z)
10.8.0.18,54.243.164.101,2018-09-04T23:32:21.659Z,Amazon Technologies Inc. (AT-88-Z)
10.8.0.18,54.243.164.101,2018-09-04T23:32:21.664Z,Amazon Technologies Inc. (AT-88-Z)
10.8.0.18,54.243.164.101,2018-09-04T23:32:21.766Z,Amazon Technologies Inc. (AT-88-Z)
10.8.0.18,54.243.164.101,2018-09-04T23:32:21.770Z,Amazon Technologies Inc. (AT-88-Z)
10.8.0.18,54.243.164.101,2018-09-04T23:32:21.770Z,Amazon Technologies Inc. (AT-88-Z)
10.8.0.18,54.243.164.101,2018-09-04T23:32:21.880Z,Amazon Technologies Inc. (AT-88-Z)
10.8.0.18,54.243.164.101,2018-09-04T23:32:21.880Z,Amazon Technologies Inc. (AT-88-Z)
10.8.0.18,54.243.164.101,2018-09-04T23:33:15.218Z,Amazon Technologies Inc. (AT-88-Z)
10.8.0.18,54.243.164.101,2018-09-04T23:33:15.315Z,Amazon Technologies Inc. (AT-88-Z)
10.8.0.18,54.243.164.101,2018-09-04T23:33:15.320Z,Amazon Technologies Inc. (AT-88-Z)
10.8.0.18,54.243.164.101,2018-09-04T23:33:15.419Z,Amazon Technologies Inc. (AT-88-Z)
10.8.0.18,54.243.164.101,2018-09-04T23:33:15.419Z,Amazon Technologies Inc. (AT-88-Z)
10.8.0.18,54.243.164.101,2018-09-04T23:33:15.419Z,Amazon Technologies Inc. (AT-88-Z)
10.8.0.18,54.243.164.101,2018-09-04T23:33:15.419Z,Amazon Technologies Inc. (AT-88-Z)
10.8.0.18,54.243.164.101,2018-09-04T23:33:15.440Z,Amazon Technologies Inc. (AT-88-Z)
10.8.0.18,54.243.164.101,2018-09-04T23:33:15.551Z,Amazon Technologies Inc. (AT-88-Z)
10.8.0.18,54.243.164.101,2018-09-04T23:33:15.551Z,Amazon Technologies Inc. (AT-88-Z)
10.8.0.18,54.243.164.101,2018-09-04T23:33:15.650Z,Amazon Technologies Inc. (AT-88-Z)
10.8.0.18,54.243.164.101,2018-09-04T23:33:15.655Z,Amazon Technologies Inc. (AT-88-Z)
10.8.0.18,54.243.164.101,2018-09-04T23:33:15.655Z,Amazon Technologies Inc. (AT-88-Z)
10.8.0.18,54.243.164.101,2018-09-04T23:33:15.752Z,Amazon Technologies Inc. (AT-88-Z)
10.8.0.18,54.243.164.101,2018-09-04T23:33:15.752Z,Amazon Technologies Inc. (AT-88-Z)
10.8.0.18,13.92.193.110,2018-09-04T23:32:21.426Z,Microsoft Corporation (MSFT)
10.8.0.18,13.92.193.110,2018-09-04T23:32:21.494Z,Microsoft Corporation (MSFT)
10.8.0.18,13.92.193.110,2018-09-04T23:32:21.558Z,Microsoft Corporation (MSFT)
10.8.0.18,13.92.193.110,2018-09-04T23:32:21.559Z,Microsoft Corporation (MSFT)
10.8.0.18,13.92.193.110,2018-09-04T23:32:21.597Z,Microsoft Corporation (MSFT)
10.8.0.18,13.92.193.110,2018-09-04T23:32:21.597Z,Microsoft Corporation (MSFT)
10.8.0.18,13.92.193.110,2018-09-04T23:32:21.597Z,Microsoft Corporation (MSFT)
10.8.0.18,13.92.193.110,2018-09-04T23:32:21.719Z,Microsoft Corporation (MSFT)
10.8.0.18,13.92.193.110,2018-09-04T23:32:21.781Z,Microsoft Corporation (MSFT)
10.8.0.18,13.92.193.110,2018-09-04T23:32:21.903Z,Microsoft Corporation (MSFT)
10.8.0.18,13.92.193.110,2018-09-04T23:32:21.903Z,Microsoft Corporation (MSFT)
10.8.0.18,13.92.193.110,2018-09-04T23:32:21.908Z,Microsoft Corporation (MSFT)
10.8.0.18,13.92.193.110,2018-09-04T23:32:21.997Z,Microsoft Corporation (MSFT)
10.8.0.18,13.92.193.110,2018-09-04T23:32:21.997Z,Microsoft Corporation (MSFT)
10.8.0.18,13.92.193.110,2018-09-04T23:32:21.997Z,Microsoft Corporation (MSFT)
10.8.0.18,13.92.193.110,2018-09-04T23:32:21.997Z,Microsoft Corporation (MSFT)
10.8.0.18,13.92.193.110,2018-09-04T23:32:22.002Z,Microsoft Corporation (MSFT)
10.8.0.18,13.92.193.110,2018-09-04T23:32:22.008Z,Microsoft Corporation (MSFT)
10.8.0.18,13.92.193.110,2018-09-04T23:32:22.172Z,Microsoft Corporation (MSFT)
10.8.0.18,13.92.193.110,2018-09-04T23:32:22.178Z,Microsoft Corporation (MSFT)
10.8.0.18,13.92.193.110,2018-09-04T23:32:22.184Z,Microsoft Corporation (MSFT)
10.8.0.18,13.92.193.110,2018-09-04T23:32:22.280Z,Microsoft Corporation (MSFT)
10.8.0.18,13.92.193.110,2018-09-04T23:32:22.280Z,Microsoft Corporation (MSFT)
10.8.0.18,13.92.193.110,2018-09-04T23:32:22.280Z,Microsoft Corporation (MSFT)
10.8.0.18,13.92.193.110,2018-09-04T23:32:23.466Z,Microsoft Corporation (MSFT)
10.8.0.18,13.92.193.110,2018-09-04T23:32:23.466Z,Microsoft Corporation (MSFT)
10.8.0.18,13.92.193.110,2018-09-04T23:32:23.466Z,Microsoft Corporation (MSFT)
10.8.0.18,13.92.193.110,2018-09-04T23:32:23.466Z,Microsoft Corporation (MSFT)
10.8.0.18,13.92.193.110,2018-09-04T23:32:23.466Z,Microsoft Corporation (MSFT)
10.8.0.18,13.92.193.110,2018-09-04T23:32:23.466Z,Microsoft Corporation (MSFT)
